"ID","Référence tesson","Forme","Origine","Type","Catégorie","Decor","Analyse","Secteur","Lieu","Contexte Stratigraphie","Stratigraphie US","Date US","Datation","Photo","profil","Publication","secteur_ID","x","y"
"MdE82.0904.0369","Maison de l'École 82 0904 0369","Vase de stockage","Thasien","THAS. 1  ","C",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1",,"Contexte déposé vers 360.","B - C",,"np_12271_20_i","BLONDÉ, BCH 109 (1985), cat. 301",98,24.713688134,40.779061124
"MdE82.0904.0459","Maison de l'École 82 0904 0459","Lékanè","Thasien","THAS. 1 ?","C",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 4.","Contexte déposé vers 360.","B - C",,"np_12271_21_a","BLONDÉ, BCH 109 (1985), cat. 306",98,24.713688134,40.779061124
"MdE82.0904.0579","Maison de l'École 82 0904 0579","Vase de stockage","Thasien","THAS. 1  ","C","C2",,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 4.","Contexte déposé vers 360.","B - C",,"np_12271_20_f","BLONDÉ, BCH 109 (1985), cat. 300",98,24.713688134,40.779061124
"MdE82.0904.0368","Maison de l'École 82 0904 0368","Vase de stockage","Thasien","THAS. 1  ","C","D2",,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 4.","Contexte déposé vers 360.","B - C",,"np_12271_20_c","BLONDÉ, BCH 109 (1985), cat. 297",98,24.713688134,40.779061124
"MdE82.0904.0185","Maison de l'École 82 0904 0185","Lékanè","Thasien","THAS. 1 6","C",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 4.","Contexte déposé vers 360.","B - C",,"np_12271_19_a","BLONDÉ, BCH 109 (1985), cat. 287",98,24.713688134,40.779061124
"MdE82.0904.0217","Maison de l'École 82 0904 0217","Lékanè","Thasien","THAS. 3  ","C",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 4.","Contexte déposé vers 360.","B - C",,"np_12271_18_f","BLONDÉ, BCH 109 (1985), cat. 281",98,24.713688134,40.779061124
"MdE82.0904.0211","Maison de l'École 82 0904 0211","Lékanè","Thasien","THAS. 4  ","C",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 4.","Contexte déposé vers 360.","B - C",,"np_12271_17_k","BLONDÉ, BCH 109 (1985), cat. 275",98,24.713688134,40.779061124
"MdE82.0904.0184","Maison de l'École 82 0904 0184","Lékanè","Thasien","THAS. 1  ","C",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 4.","Contexte déposé vers 360.","B - C",,"np_12271_18_c","BLONDÉ, BCH 109 (1985), cat. 278",98,24.713688134,40.779061124
"MdE82.0904.0214","Maison de l'École 82 0904 0214","Lékanè","Thasien","THAS. 1  ","C",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 4.","Contexte déposé vers 360.","B - C",,"np_12271_17_h","BLONDÉ, BCH 109 (1985), cat. 272",98,24.713688134,40.779061124
"MdE82.0904.0623","Maison de l'École 82 0904 0623","Lékanè","Thasien","THAS. 4  ","C",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 4.","Contexte déposé vers 360.","B - C",,"np_12271_17_e","BLONDÉ, BCH 109 (1985), cat. 269",98,24.713688134,40.779061124
"MdE82.0904.0199","Maison de l'École 82 0904 0199","Lékanè","Thasien","THAS. 4  ","C","C4",,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 4.","Contexte déposé vers 360.","B - C",,"np_12271_17_b","BLONDÉ, BCH 109 (1985), cat. 266",98,24.713688134,40.779061124
"MdE82.0904.0206","Maison de l'École 82 0904 0206","Lékanè","Thasien","THAS. 4  ","C",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 4.","Contexte déposé vers 360.","B - C",,"np_12271_16_g","BLONDÉ, BCH 109 (1985), cat. 263",98,24.713688134,40.779061124
"MdE82.0904.0592","Maison de l'École 82 0904 0592","Lékanè","Thasien","THAS. 6  ","C",,,"Maison de l'École","Sondage dans le jardin de l'EFA","1","Remblai, couche 4.","Contexte déposé vers 360.","B - C",,"np_12271_16_d","BLONDÉ, BCH 109 (1985), cat. 260",98,24.713688134,40.779061124
